# mu=0.0121504632922363 L1_x=-0.836915727639612 L2_x=-1.15568169499938
orbit_id,x0,y0,z0,vx0,vy0,vz0,T,nu1,nu2,lambda_max
72,-1.0407286549184,0,-0.192566558027436,0,0.140558425780233,0,1.76205127226802,1.19418849631692,-1.4376209154765,0.635400933019836
73,-1.0412007186248,0,-0.192779913946162,0,0.141413785042104,0,1.76858945609434,1.18883640389267,-1.44364854243571,0.636727137677891
74,-1.04167473937397,0,-0.192991222612834,0,0.14226856818371,0,1.77515915618711,1.18339591494424,-1.44933398058863,0.637937083986358
75,-1.04215074765875,0,-0.193200304689053,0,0.143122794624768,0,1.78175904651685,1.17787207062663,-1.45466625375448,0.639031687274475
76,-1.04262867347277,0,-0.193408050017004,0,0.143976275825183,0,1.78839847936856,1.17224504152128,-1.45964588718244,0.640011098487013
77,-1.0431084737662,0,-0.193615113721438,0,0.144828870375271,0,1.79508455283008,1.16649823384174,-1.4642674958154,0.64087321926799
78,-1.04359013813239,0,-0.193821824265862,0,0.145680499013951,0,1.80182115170188,1.1606214530365,-1.46851984320374,0.641614556449951
79,-1.04407370530839,0,-0.194027977287537,0,0.146531184049343,0,1.8086068361471,1.15461741475953,-1.47238577444812,0.642232059092943
80,-1.04455941846621,0,-0.194231014888156,0,0.147381396930838,0,1.81541638778908,1.14855305731071,-1.47583344421401,0.642732888034312
81,-1.04504716145632,0,-0.194432412263921,0,0.148230836249637,0,1.82226518357248,1.14239109386673,-1.47886277227794,0.643112065484357
82,-1.04553700193845,0,-0.19463156477509,0,0.14907959806666,0,1.82914764550325,1.13614910078672,-1.48145833873218,0.643371805170763
83,-1.04602888311441,0,-0.194829354536242,0,0.149927497658477,0,1.83607329661925,1.12980297850306,-1.48361133968053,0.643506062255225
84,-1.04652278720784,0,-0.195026248627805,0,0.150774429121959,0,1.84304752945597,1.12333823235086,-1.48530758134714,0.643508475162444
85,-1.04701871768406,0,-0.195222479771747,0,0.151620329661297,0,1.8500733981895,1.11674602089882,-1.48652978391222,0.643372523991197
86,-1.04751669734427,0,-0.195418051095417,0,0.152465178516681,0,1.85715163793018,1.11002395494933,-1.48725888842766,0.643092452719452
87,-1.04801691413991,0,-0.195610767256423,0,0.153309362905393,0,1.86426032791143,1.10324256187961,-1.48748024040622,0.642685962024175
88,-1.04851935865934,0,-0.195800933886509,0,0.154152801633029,0,1.87140316269742,1.09639531048127,-1.48718125983967,0.642149676892884
89,-1.04902394570841,0,-0.195989998075821,0,0.154995207780168,0,1.87859576612353,1.08943453393986,-1.4863411506082,0.641463404400025
90,-1.04953078192262,0,-0.196176744284799,0,0.155836780713862,0,1.88582620486524,1.08240314486928,-1.48494812681161,0.640638238392146
91,-1.05003982046134,0,-0.196362158322952,0,0.156677318220706,0,1.8931054332213,1.07526714410234,-1.482978578309,0.639655878537341
92,-1.05055107018384,0,-0.196546474953467,0,0.15751675430588,0,1.90043667151334,1.0680171538787,-1.4804094359976,0.638505128503844
